containerid,coke_ind,coke_kilo
gcn79000005,0,0
gcn79000014,0,0
gcn79000015,0,0
gcn79000017,0,0
gcn79000018,0,0
gcn79000025,0,0
gcn79000027,0,0
gcn79000036,0,0
gcn79000037,0,0
gcn79000051,0,0
gcn79000053,0,0
gcn79000058,0,0
gcn79000062,0,0
gcn79000069,0,0
gcn79000087,0,0
gcn79000095,0,0
gcn79000103,0,0
gcn79000126,0,0
gcn79000130,0,0
gcn79000143,0,0
gcn79000152,0,0
gcn79000154,0,0
gcn79000159,0,0
gcn79000165,0,0
gcn79000167,0,0
gcn79000172,0,0
gcn79000173,0,0
gcn79000188,0,0
gcn79000198,0,0
gcn79000207,0,0
gcn79000218,0,0
gcn79000220,0,0
gcn79000223,0,0
gcn79000254,0,0
gcn79000259,0,0
gcn79000271,0,0
gcn79000273,0,0
gcn79000274,0,0
gcn79000287,0,0
gcn79000289,0,0
gcn79000294,0,0
gcn79000307,0,0
gcn79000312,0,0
gcn79000316,0,0
gcn79000323,0,0
gcn79000324,0,0
gcn79000329,0,0
gcn79000332,0,0
gcn79000335,0,0
gcn79000337,0,0
gcn79000340,0,0
gcn79000346,0,0
gcn79000347,0,0
gcn79000349,0,0
gcn79000353,0,0
gcn79000358,0,0
gcn79000360,0,0
gcn79000371,0,0
gcn79000378,0,0
gcn79000380,0,0
gcn79000389,0,0
gcn79000396,0,0
gcn79000398,0,0
gcn79000408,0,0
gcn79000409,0,0
gcn79000411,0,0
gcn79000413,0,0
gcn79000422,0,0
gcn79000425,0,0
gcn79000429,0,0
gcn79000434,0,0
gcn79000436,0,0
gcn79000438,0,0
gcn79000440,0,0
gcn79000442,0,0
gcn79000445,0,0
gcn79000450,0,0
gcn79000461,0,0
gcn79000468,0,0
gcn79000477,0,0
gcn79000479,0,0
gcn79000488,0,0
gcn79000521,0,0
gcn79000523,0,0
gcn79000527,0,0
gcn79000531,0,0
gcn79000535,0,0
gcn79000538,0,0
gcn79000543,0,0
gcn79000545,0,0
gcn79000552,0,0
gcn79000554,0,0
gcn79000558,0,0
gcn79000559,0,0
gcn79000563,0,0
gcn79000573,0,0
gcn79000575,0,0
gcn79000582,0,0
gcn79000584,0,0
gcn79000591,0,0
gcn79000592,0,0
gcn79000594,0,0
gcn79000595,0,0
gcn79000600,0,0
gcn79000606,0,0
gcn79000617,0,0
gcn79000622,0,0
gcn79000630,0,0
gcn79000633,0,0
gcn79000638,0,0
gcn79000639,0,0
gcn79000642,1,2
gcn79000647,0,0
gcn79000664,0,0
gcn79000672,0,0
gcn79000675,0,0
gcn79000679,0,0
gcn79000681,0,0
gcn79000685,0,0
gcn79000690,0,0
gcn79000708,0,0
gcn79000710,0,0
gcn79000711,0,0
gcn79000718,0,0
gcn79000727,0,0
gcn79000728,0,0
gcn79000733,0,0
gcn79000736,0,0
gcn79000745,0,0
gcn79000752,0,0
gcn79000755,0,0
gcn79000757,0,0
gcn79000760,0,0
gcn79000764,0,0
gcn79000765,0,0
gcn79000766,0,0
gcn79000776,0,0
gcn79000779,0,0
gcn79000790,0,0
gcn79000793,0,0
gcn79000797,0,0
gcn79000801,0,0
gcn79000804,0,0
gcn79000808,0,0
gcn79000821,0,0
gcn79000836,0,0
gcn79000837,0,0
gcn79000845,0,0
gcn79000862,0,0
gcn79000866,0,0
gcn79000870,0,0
gcn79000882,0,0
gcn79000884,0,0
gcn79000885,0,0
gcn79000886,0,0
gcn79000894,0,0
gcn79000896,0,0
gcn79000907,0,0
gcn79000919,0,0
gcn79000920,0,0
gcn79000921,0,0
gcn79000924,0,0
gcn79000931,0,0
gcn79000933,0,0
gcn79000938,0,0
gcn79000939,0,0
gcn79000943,0,0
gcn79000949,0,0
gcn79000951,0,0
gcn79000953,0,0
gcn79000977,0,0
gcn79000984,0,0
gcn79001008,0,0
gcn79001009,0,0
gcn79001011,1,3
